pl_radius,pl_mass,star_temp,star_radius,pl_mass_log,pl_radius_log
13.7646283,378.21580433,6190.0,1.346,5.938105447597803,2.692234340480089
2.49,6.76,4931.0,0.782,2.048982334195127,1.2499017362143359
15.984,283.492,6330.0,1.319,5.650705133663116,2.8322717244009548
9.2362001,96.30200732,6400.0,1.415,4.577819619194987,2.325930466758287
21.40919,1293.5681,7500.0,1.83,7.165932404992124,3.1094711425812913
12.3,4036.441,5670.0,1.036,8.303366354421046,2.5877640352277083
2.81,8.3,5628.0,0.92,2.2300144001592104,1.3376291891386096
1.08,1.28,5280.0,0.82,0.8241754429663495,0.7323678937132266
1.51852059,2.92,6214.0,1.076,1.366091653802371,0.9236716616714393
1.77,3.78,4726.0,0.71,1.5644405465033646,1.0188473201992472
8.4493,105.833,4450.0,0.6489,4.6712668675629425,2.2459406646879576
7.59,44.812,5198.0,0.98,3.8245460655354697,2.150598735996164
1.84,4.04,4222.06,0.646783,1.6174060820832772,1.0438040521731147
2.29763023,5.89,5889.0,0.924,1.9300710850255671,1.1932040983852068
2.55,7.04,4984.0,0.73,2.084429083190875,1.2669476034873244
1.38,2.48,4904.0,0.74,1.247032293786383,0.8671004876833832
2.488,7.16,2960.0,0.182,2.0992441689760155,1.2493285060467332
13.2,813.64072192,5255.914132507477,1.0014813828677545,6.702747184045871,2.653241964607215
4.21,16.5,5416.0,0.99,2.8622008809294686,1.6505798557652755
4.21,16.5,5381.0,0.953,2.8622008809294686,1.6505798557652755
14.0,238.37130525,5873.0,1.30446,5.478015924828845,2.70805020110221
14.829507,298.12454,5899.0,0.996,5.700860008408718,2.761875730009345
3.74,13.5,5993.0,1.14,2.6741486494265287,1.556037135706985
11.65736,1875.197,5130.0,0.88,7.537002134713918,2.5382388641647715
3.04,13.2,6326.0,1.126,2.653241964607215,1.3962446919730587
2.13,5.18,4861.0,0.75,1.8213182714695995,1.1410330045520618
14.72860064,186.2474465,6096.0,1.09,5.232430985455214,2.755480751892305
1.10479327,1.39,5009.0,0.84,0.8712933659434192,0.7442172532853943
2.74,7.95,5852.0,1.455,2.191653532286764,1.3190856114264407
1.95,10.7,4975.0,0.787,2.4595888418037104,1.0818051703517284
1.1,1.37,3622.0,0.284,0.8628899551470399,0.7419373447293773
8.675766,82.6358,5282.0,0.822,4.426471658091573,2.2696244089084336
2.76,8.05,5279.0,0.81,2.2027647577118348,1.324418957401803
1.504,3.49,4687.0,0.729,1.501852701754163,0.9178894532378521
1.86,4.13,6196.0,1.26,1.635105659182678,1.0508216248317612
1.2,1.87,5255.914132507477,1.0014813828677545,1.0543120297715298,0.7884573603642702
12.6,2510.52658689,5757.15,1.19568,7.828646049194191,2.6100697927420065
13.9,289.85950718,4809.0,10.38,5.672840357393456,2.7013612129514133
10.603714,306.38812,5150.0,0.855,5.728111183643313,2.4513252192818626
2.03,4.78,5329.0,0.775,1.7544036826842861,1.1085626195212777
